Name,Color,Secondary_Color,Display_Name,Description,Parent_1,Parent_2
BP_ia_Amygdala_C,"(R=0.715000,G=0.000000,B=0.084906,A=0.000000)",,Amygdala,"Modulates emotional processing of memory, conditioning, and reactions",,
BP_ia_CaudNuc_C,"(R=0.220532,G=0.423485,B=0.823529,A=1.000000)",,Caudate Nucleus,"Involved in procedural learning, motor processing, and executive functioning.",Basal Ganglia,
BP_ia_CaudNucBridges_C,"(R=0.220532,G=0.423485,B=0.823529,A=1.000000)",,Caudate Bridges,,Basal Ganglia,
BP_ia_Cerebellum_C,"(R=0.960000,G=0.105600,B=0.115927,A=0.000000)",,Cerebellum,Plays important role in motor control and motor learning,,
BP_ia_Eyeballs_C,"(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","(R=0.125000,G=0.055009,B=0.012500,A=0.000000)",Eyeballs,Receive light information and pass it on to the brain,,
BP_ia_Fornix_C,"(R=0.043117,G=0.363387,B=0.715000,A=0.000000)",,Fornix,Implicated in memory and a major output tract of the hippocampus,,
BP_ia_Hippocampus_C,"(R=0.248298,G=0.128503,B=0.715000,A=0.000000)",,Hippocampus,"Controls remembering episodic memories, spatial navigation",,
BP_ia_Master_C,,,infoActor Master,,,
BP_ia_Pituitary_C,"(R=0.572455,G=0.715000,B=0.185726,A=0.000000)",,Pituitary Gland,Synthesizes and releases hormones,,
BP_ia_Pons_C,"(R=0.690151,G=0.715000,B=0.058695,A=0.000000)",,Pons,"Conducts signals thalamus & lower brain, performs a multitude of other functions",,
BP_ia_Putamen_C,"(R=0.133333,G=0.592157,B=0.921569,A=1.000000)",,Putamen,"Associated with motor processes, learning, and inhibition",Basal Ganglia,
BP_ia_Thalamus_C,"(R=0.110066,G=0.870588,B=0.120797,A=1.000000)",,Thalamus,A hub which relays sensory information between different parts of the cortex,,
BP_ia_VisualPaths_C,"(R=0.132758,G=0.131157,B=0.715000,A=0.000000)","(R=0.715000,G=0.123605,B=0.180600,A=0.000000)",Visual Pathways,,,
BP_ia_Hypothalamus_C,"(R=0.046750,G=0.550000,B=0.441007,A=0.000000)",,Hypothalamus,"Responsible for several autonomic functions, such as homeostasis, appetite, and sleep",,
BP_ia_InfColliculus_C,"(R=0.251445,G=0.680000,B=0.026718,A=0.000000)",,Inferior Colliculus,Receives sound information from the auditory cortex and brainstem nuclei.,,
BP_ia_SupColliculus_C,"(R=0.163888,G=0.680000,B=0.307267,A=0.000000)",,Superior Colliculus (Tectum),Processes  preliminary visual data and controls reflexive eye movements,,
BP_ia_Peduncle_C,"(R=0.035775,G=0.795000,B=0.419701,A=0.000000)",,Peduncle,Connect midbrain with thalamus/cerebrum, assists in motor skills and proprioception,
BP_ia_Olive_C,"(R=0.232650,G=0.990000,B=0.526884,A=1.000000)",,Olive,Assists in sound perception, assists in motor learning and functioning,
BP_ia_Pyramid_C,"(R=0.202950,G=0.814324,B=0.990000,A=1.000000)",,Pyramid,Involved in the control of motor functions,,
BP_ia_Pulvinar_C,"(R=0.172711,G=0.550000,B=0.154000,A=0.000000)",,Pulvinar,,,
BP_ia_Medulla_C,"(R=0.069693,G=0.383245,B=0.775000,A=1.000000)",,Medulla,"Responsible for many autonomic functions, including respiration, cardiac, & vasomotor system",,
BP_ia_Globus_C,,,Globus Pallidus,,Basal Ganglia,
BP_ia_SubsNigra_C,,,Substantia Nigra,,,
BP_ia_TLentorhinal,,,Entorhinal cortex,,Temporal lobe,
BP_ia_TLparahippo,,,Parahippocampal gyrus,,Temporal lobe,
BP_ia_TLfusiform,,,Fusiform gyrus,,Temporal lobe,
BP_ia_TLsupTemp,,,Superior temporal gyrus,,Temporal lobe,
BP_ia_TLmidTemp,,,Middle temporal gyrus,,Temporal lobe,
BP_ia_TLinfTemp,,,Interior temporal gyrus,,Temporal lobe,
BP_ia_TLtransTemp,,,Tranverse temporal gyrus,,Temporal lobe,
BP_ia_FLsuperior,,,Superior frontal,,Frontal lobe,
BP_ia_FLmidRost,,,"Middle frontal gyrus, rostral",,Frontal lobe,
BP_ia_FLmidCaud,,,"Middle frontal gyrus, caudal",,Frontal lobe,
BP_ia_FLorbLat,,,"Orbitofrontal gyrus, lateral division",,Frontal lobe,
BP_ia_FLorbMed,,,"Orbitofrontal gyrus, Medial division",,Frontal lobe,
BP_ia_FLparsOper,,,Pars opercularis,,Frontal lobe,
BP_ia_FLparsTriang,,,Pars triangularis,,Frontal lobe,
BP_ia_FLparsOrbit,,,Pars orbitalis,,Frontal lobe,
BP_ia_FLprecent,,,Precentral gyrus,,Frontal lobe,
BP_ia_FLparacent,,,Paracentral gyrus,,Frontal lobe,
BP_ia_PLpostcent,,,Postcentral lobule,,Parietal lobe,
BP_ia_PLsupraMarg,,,Supramarginal gyrus,,Parietal lobe,
BP_ia_PLsuperior,,,Superior parietal lobule,,Parietal lobe,
BP_ia_PLinferior,,,Inferior parietal lobule,,Parietal lobe,
BP_ia_PLprecuneus,,,Precuneus,,Parietal lobe,
BP_ia_OLlingual,,,Lingual gyrus,,Occipital lobe,
BP_ia_OLperical,,,Pericalcarine cortex,,Occipital lobe,
BP_ia_OLcuneus,,,Cuneus cortex,,Occipital lobe,
BP_ia_OLlateral,,,Lateral occipital cortex,,Occipital lobe,
BP_ia_CCrostral,,,Rostral anterior,,Cingulate cortex,
BP_ia_CCcaudal,,,Caudal anterior,,Cingulate cortex,
BP_ia_CCposterior,,,Posterior,,Cingulate cortex,
BP_ia_CCisthmus,,,Isthmus,,Cingulate cortex,
